q,Kc,Kw,seed,arm,n,m,full,df_C,df_W,I,P,C,W
8,2,2,29,real,1468,10,0.18330820165928807,20,2956,0.12370967233586333,0.142750765941362,0.0052406316358334275,-0.08839286825377066
8,2,4,11,real,1468,10,0.1630772440917242,20,5912,0.13195762504140285,0.12030867511250863,0.010319975160363582,-0.09950903122255085
8,2,4,29,real,1468,10,0.17934026909413625,20,5912,0.123581398510527,0.1507069484131383,0.007972570980161426,-0.10292064880969047
8,4,0,11,perm,1468,10,0.21860993862264422,40,0,0.13265310940843006,0.08849412910615809,-0.002537299891943938,0.0
8,4,0,29,perm,1468,10,0.24527433239453977,40,0,0.12648542272903357,0.11892096143878161,-0.00013205177327541007,0.0
8,4,0,11,real,1468,10,0.23898406852939647,40,0,0.13251398853184232,0.09058430755058686,0.01588577244696724,0.0
8,4,0,29,real,1468,10,0.2616070833374893,40,0,0.12628465376788955,0.12070001601333649,0.01462241355626324,0.0
8,4,1,11,real,1468,10,0.19289011894127817,40,1478,0.12924679826937877,0.09984207587301473,0.015903669000813164,-0.052102424201928524
8,4,1,29,real,1468,10,0.22046086620172123,40,1478,0.1250857308420372,0.1278874367133947,0.01376941976838053,-0.0462817211220912
8,4,2,11,real,1468,10,0.16343831561232902,40,2956,0.1289994703719661,0.11195077533367997,0.012695542147288408,-0.09020747224060546
8,4,2,29,real,1468,10,0.18468790067747376,40,2956,0.12345596539490289,0.14397570728704395,0.008200396510088396,-0.09094416851456144
8,4,4,11,real,1468,10,0.16693818194881993,40,5912,0.13132408828689604,0.12071984502530714,0.014007966900264677,-0.09911371826364793
8,4,4,29,real,1468,10,0.18235093899112575,40,5912,0.12343206330155085,0.1518853263191208,0.011718917147675876,-0.10468536777722179
8,8,0,11,perm,1468,10,0.21569750445977098,80,0,0.13289601984046207,0.08810397723952088,-0.005302492620211967,0.0
8,8,0,29,perm,1468,10,0.24410693460861543,80,0,0.12626290586651384,0.11902411901012729,-0.0011800902680257166,0.0
8,8,0,11,real,1468,10,0.2427596325095206,80,0,0.1324240122150101,0.09132242436333196,0.019013195931178523,0.0
8,8,0,29,real,1468,10,0.2652167073014131,80,0,0.12600305790139305,0.12198179728659965,0.017231852113420397,0.0
8,8,1,11,real,1468,10,0.19605051766867787,80,1478,0.12922697491879784,0.10075331198107049,0.018601873727881246,-0.05253164295907172
