q,world,est,arm,seed,brier_I,brier_P,brier_C,brier_W,brier_full,logloss_I,logloss_P,logloss_C,logloss_W,logloss_full,l1_I,l1_P,l1_C,l1_W,l1_full
29,real,ls,real,11,0.20446146129729717,0.09630674840070305,0.0044738804211475,-0.012679201289442913,0.2925628888297048,0.19670980621444567,0.07550965786690152,0.001769868205894069,-0.1878404703824633,0.086148861904778,0.18507511576116706,0.0988311447978872,0.0055814231244289605,0.09584201403734338,0.3853296977208266
29,real,ls,perm,11,0.20469414496920327,0.0953367278230584,-0.000669933646000126,-0.009490682670529835,0.2898702564757317,0.19581926831042273,0.07264951248722437,-0.0008411296093380851,-0.18397729699500212,0.08365035419330691,0.18562256887069542,0.09885938459832336,-6.611660616114474e-05,0.09764066150766915,0.3820564983705268
29,real,ls,real,29,0.19936775852231814,0.09139819520138971,0.003752675450802267,-0.018877184378112734,0.2756414447963974,0.18766861563248768,0.07094505222799874,-4.31294842804798e-05,-0.19760354152555673,0.06096699685064921,0.18535340989659516,0.09635836164239657,0.00539575792834677,0.09298242712494612,0.3800899565922846
29,real,ls,perm,29,0.19985228636959235,0.09095906561242334,-0.0004815231071036522,-0.015375768844048869,0.2749540600308632,0.18705674730908972,0.06861715042472442,-0.0003396207876179187,-0.19173846554295212,0.0635958114032441,0.18599275850213284,0.09647612209834058,-6.5584447472992e-05,0.09471449309281378,0.3771177892458142
29,real,ls,real,47,0.19624072451435257,0.10153397655755599,0.004632389230610129,-0.012511021551282185,0.2898960687512365,0.18530699848909857,0.07920725055424638,0.00010571793364981975,-0.18550722933940944,0.0791127376375853,0.1800989085258534,0.10313023348440713,0.005893944313875808,0.09630964644172511,0.38543273276586143
29,real,ls,perm,47,0.1964823165886302,0.10078303811031959,-0.00042206398761015135,-0.008941537954838095,0.28790175275650154,0.1850297944933411,0.0781395402720731,-0.00019506801764068715,-0.18035386771853412,0.08262039902923934,0.18040293225317675,0.10305566166265184,4.9202891720861994e-05,0.0979823679057781,0.38149016471332753
29,real,logit,real,11,0.18784197414556705,0.08373025171250044,0.043885829960541925,,0.3154580558186094,0.16309854556883377,0.06750669888260755,0.03613205914206811,,0.26673730359350944,0.176534317629937,0.1035946348383564,0.041669862757123546,,0.321798815225417
29,real,logit,perm,11,0.18759544975832398,0.08334053862892211,0.036940893354211315,,0.30787688174145744,0.16218805127962554,0.066951827681754,0.029757915705632684,,0.25889779466701224,0.17667451439817874,0.10355971588320195,0.03605199191359442,,0.31628622219497515
29,real,logit,real,29,0.1821852874176606,0.08220572615440755,0.04325578913499304,,0.30764680270706124,0.1580627448898551,0.06573019351039307,0.035262913397462084,,0.2590558517977103,0.17603546037787804,0.10210280698438756,0.041620921141082415,,0.31975918850334806
29,real,logit,perm,29,0.1818382520892961,0.08229939462007375,0.03713369680476143,,0.3012713435141313,0.15723039878174583,0.06554771678244022,0.029595545205984244,,0.2523736607701703,0.17623710806441573,0.10220451051632101,0.036342872189066566,,0.3147844907698033
