q,Kw,seed,arm,n,m,full,I,P,C,W
19,1,11,real,3805,19,0.29667952501190664,0.15327068942963284,0.11339583016233026,0.02130905371902121,0.008703951700922316
19,1,11,perm,3805,19,0.27486283942386924,0.15439169587327511,0.11161547894498802,-0.0010235083409765402,0.009879172946582648
19,1,29,real,3805,19,0.2946141556192243,0.1479101476558226,0.12372764361849442,0.017602164639381385,0.005374199705525912
19,1,29,perm,3805,19,0.2762429639286966,0.14839583658891345,0.12228517232152016,-0.0015003604358512685,0.007062315454114278
19,1,47,real,3805,19,0.31035336073422215,0.15156034502817417,0.1303484860868353,0.019152303685023082,0.009292225934189574
19,1,47,perm,3805,19,0.29201926811908263,0.15137488445908337,0.12960790939813074,-0.0005084519379912703,0.011544926199859796
29,0,11,real,5388,22,0.32308251229549456,0.21173975441689047,0.08331406798192278,0.028028689896681298,0.0
29,0,11,perm,5388,22,0.2938811420778208,0.21288826799745247,0.0818316520159553,-0.000838777935586991,0.0
29,0,29,real,5388,22,0.3144443884698056,0.20648533335093344,0.08170917977740297,0.0262498753414692,0.0
29,0,29,perm,5388,22,0.2881489123993928,0.20784527469578098,0.08076633571164255,-0.0004626980080307633,0.0
29,0,47,real,5388,22,0.31818899412297275,0.20164356892874571,0.08987905032144143,0.026666374872785597,0.0
29,0,47,perm,5388,22,0.2919289377103702,0.20279692228565804,0.08932097749136832,-0.0001889620666561768,0.0
29,1,11,real,5388,22,0.31996378739271736,0.2093733865979613,0.08884241583799883,0.015636908939960975,0.00611107601679627
29,1,11,perm,5388,22,0.31503901236204046,0.21074239892787203,0.08666101030789239,-0.0008530158914137793,0.018488619017689806
29,1,29,real,5388,22,0.3130330686146727,0.20598263702196976,0.08524804052844583,0.01391761038567061,0.007884780678586518
29,1,29,perm,5388,22,0.31083203550233696,0.20744572283357982,0.08364428546497123,-0.00046885821931499,0.02021088542310088
29,1,47,real,5388,22,0.31424187904584566,0.19996314668077697,0.09521228638832921,0.013915693042571536,0.005150752934167936
29,1,47,perm,5388,22,0.31244957678368157,0.2010236336249175,0.0936678837346577,-0.00016616870346590945,0.017924228127572262
39,0,11,real,1703,12,0.17946328593840621,0.10959631553759006,0.05289100537883709,0.016975965021979046,0.0
39,0,11,perm,1703,12,0.1611254302567524,0.11053105923642963,0.051941715065871565,-0.001347344045548778,0.0
39,0,29,real,1703,12,0.19761181908627967,0.12030273299506797,0.06550790436639752,0.011801181724814183,0.0
39,0,29,perm,1703,12,0.18225858993779243,0.11943304858689748,0.063787966027988,-0.0009624246770930471,0.0
39,0,47,real,1703,12,0.19217356632126148,0.1304938759378269,0.047462976629683094,0.01421671375375146,0.0
39,0,47,perm,1703,12,0.1740959466325641,0.1300795125088171,0.04598814244902566,-0.001971708325278654,0.0
39,1,11,real,1703,12,0.2070047731695267,0.10813831887852554,0.06596721876495083,0.01343303563857238,0.01946619988747792
39,1,11,perm,1703,12,0.19576607039529614,0.10895325247895654,0.06472874200232996,-0.0011361987012118617,0.023220274615221505
39,1,29,real,1703,12,0.21612062959655043,0.11908969193706455,0.07787927727567848,0.008229307342899339,0.01092235304090807
39,1,29,perm,1703,12,0.20847330864008573,0.11867496991410563,0.0755701726198113,-0.0006142429968735801,0.014842409103042381
39,1,47,real,1703,12,0.19136762322365342,0.1297079771239245,0.05990121686860337,0.012637627431365204,-0.01087919820023969
39,1,47,perm,1703,12,0.17605648474019508,0.1294141980888928,0.058387643627499874,-0.0022084767118114024,-0.009536880264386186
42,0,11,real,1665,18,0.2640902748269942,0.1773080327916409,0.0637535209224461,0.023028721112907193,0.0
42,0,11,perm,1665,18,0.24099022190086383,0.1797668634346076,0.06192882928338126,-0.0007054708171250387,0.0
42,0,29,real,1665,18,0.272053629082849,0.18172246999247865,0.0674571293824269,0.02287402970794348,0.0
42,0,29,perm,1665,18,0.24193325517976783,0.181439338046822,0.06471219372915626,-0.004218276596210435,0.0
42,0,47,real,1665,18,0.2641557155633367,0.15803773052463854,0.07708380993695524,0.029034175101742943,0.0
42,0,47,perm,1665,18,0.23184506652578318,0.15662277857989781,0.07700067312331735,-0.0017783851774319885,0.0
42,1,11,real,1665,18,0.34318412237825036,0.16589948548908387,0.07330316352096163,0.020144501788764348,0.08383697157944049
42,1,11,perm,1665,18,0.32553227135872875,0.1677636233725868,0.07204800315463775,-0.0008530084446020749,0.0865736532761063
42,1,29,real,1665,18,0.35441580814877394,0.17024346197582857,0.07733176649936002,0.01990115791778437,0.08693942175580097
42,1,29,perm,1665,18,0.3302615677994907,0.16934325637289482,0.07446179468477315,-0.0038370267001739122,0.09029354344199661
42,1,47,real,1665,18,0.3343996285077432,0.1468558926566803,0.08484671176998373,0.026098596382791515,0.0765984276982876
42,1,47,perm,1665,18,0.30879915854522777,0.14585414193601323,0.08465273505389341,-0.0015100550196749478,0.07980233657499608
48,0,11,real,2915,10,0.26045773532329397,0.21553931526297784,0.030567279070003877,0.014351140990312242,0.0
48,0,11,perm,2915,10,0.24350237725937873,0.2161181954653425,0.02843885973190165,-0.0010546779378654372,0.0
48,0,29,real,2915,10,0.2841958488802876,0.22643822565760913,0.03761065087784832,0.02014697234483015,0.0
