q,draw,world,v,v_ref,n,m,planted_pp
85,1,nullnull,0.17657949298257314,0.17657949298257314,2190,22,
85,2,real,0.17657949298257314,0.17657949298257314,2190,22,
85,2,nullnull,0.17657949298257314,0.17657949298257314,2190,22,
85,0,plant0.05,0.23126043109639727,0.23126043109639727,2190,22,10.680333267962833
85,0,plant0.1,0.24206513946436672,0.24206513946436678,2190,22,19.218244801657473
85,0,plant0.2,0.26104239006811886,0.26104239006811886,2190,22,30.81757483107943
90,0,real,0.16876520170710752,0.16876520170710752,3701,10,
90,0,nullnull,0.16876520170710752,0.16876520170710752,3701,10,
90,1,real,0.16876520170710752,0.16876520170710754,3701,10,
90,1,nullnull,0.16876520170710752,0.16876520170710754,3701,10,
90,2,real,0.16876520170710752,0.16876520170710752,3701,10,
90,2,nullnull,0.16876520170710754,0.16876520170710752,3701,10,
90,0,plant0.05,0.24227626902563854,0.24227626902563854,3701,10,11.066273381668367
90,0,plant0.1,0.26302548641442797,0.26302548641442797,3701,10,19.550668623781643
90,0,plant0.2,0.27998235249162134,0.27998235249162134,3701,10,30.713267773727782
92,0,real,0.17342840616287641,0.17342840616287641,3593,18,
92,0,nullnull,0.17342840616287641,0.17342840616287641,3593,18,
92,1,real,0.17342840616287641,0.17342840616287641,3593,18,
92,1,nullnull,0.17342840616287641,0.17342840616287641,3593,18,
92,2,real,0.17342840616287641,0.1734284061628764,3593,18,
92,2,nullnull,0.17342840616287641,0.1734284061628764,3593,18,
92,0,plant0.05,0.2297086873315635,0.2297086873315635,3593,18,9.735366052657106
92,0,plant0.1,0.23147571477603504,0.23147571477603504,3593,18,17.90613843359963
92,0,plant0.2,0.25474567484281513,0.25474567484281513,3593,18,29.30107339666918
93,0,real,0.16285361203967846,0.16285361203967852,3228,21,
93,0,nullnull,0.1628536120396785,0.16285361203967852,3228,21,
93,1,real,0.16285361203967846,0.1628536120396785,3228,21,
93,1,nullnull,0.1628536120396785,0.1628536120396785,3228,21,
93,2,real,0.16285361203967846,0.1628536120396785,3228,21,
93,2,nullnull,0.1628536120396785,0.1628536120396785,3228,21,
93,0,plant0.05,0.2165603534188796,0.2165603534188796,3228,21,10.660775759298026
93,0,plant0.1,0.2298477612746806,0.2298477612746806,3228,21,19.349119878766206
93,0,plant0.2,0.2566260938165187,0.25662609381651874,3228,21,31.524175410749567
