seed,a,b,tier,cca,null
1,73,81,tier4 all other pairs,0.3661076327275583,0.06601838950385104
1,77,79,tier4 all other pairs,0.3223624168514119,0.012160559916087587
1,77,81,tier4 all other pairs,0.2201949291638266,0.09765944441673914
1,77,83,tier3 fluid<->non-fluid,0.31149874360805885,0.04667137332758385
1,79,81,tier4 all other pairs,0.2524836172002135,0.041571769311564095
1,79,83,tier3 fluid<->non-fluid,0.3598928405683682,0.11098903422679525
1,79,85,tier4 all other pairs,0.2740512624152534,0.03687270481484634
1,79,90,tier4 all other pairs,0.1348946700082917,0.02919682509729835
1,79,91,tier4 all other pairs,0.33239571946166896,0.06223263004497819
1,79,92,tier4 all other pairs,0.24441039337712137,0.06873738136077492
1,79,93,tier4 all other pairs,0.23984064174720124,0.05269190410083148
1,79,96,tier4 all other pairs,0.28198147360630355,0.07059851376159758
1,85,90,tier4 all other pairs,0.08191723787219356,0.05108223079513915
1,85,91,tier4 all other pairs,0.22284293718217374,0.05105157252046494
1,85,92,tier4 all other pairs,0.3652253442137169,0.03722655452439642
1,85,93,tier4 all other pairs,0.20291210458533718,0.02559722690471669
1,85,96,tier4 all other pairs,0.3041866376805335,0.026168997061255448
1,90,91,tier4 all other pairs,0.15540293535210245,0.1087629486433114
1,90,92,tier4 all other pairs,0.22933689012321715,0.04555618792396051
1,90,93,tier4 all other pairs,0.04272422618659902,0.03052481261739049
1,90,96,tier4 all other pairs,0.09784474534489893,0.026892369087726298
1,91,92,tier4 all other pairs,0.21672656760929157,0.05786297294859294
1,91,93,tier4 all other pairs,0.28860091514762315,0.015845853083241653
1,91,96,tier4 all other pairs,0.21280991473574062,0.048973215767409484
1,92,93,tier4 all other pairs,0.42577495381408464,0.05703004655799486
1,92,96,tier4 all other pairs,0.29055248785143883,0.06771880245840202
1,93,96,tier4 all other pairs,0.33186998710887244,0.06094503300069128
2,1,4,tier4 all other pairs,0.5821953472206398,0.03421531070012669
2,1,7,tier3 fluid<->non-fluid,0.22864667997714788,0.03889772178336343
2,1,8,tier3 fluid<->non-fluid,0.11978838142732735,0.02234347727033482
2,1,9,tier3 fluid<->non-fluid,0.3145905141336877,0.027635801309624532
2,1,11,tier3 fluid<->non-fluid,0.20245601344408512,0.06577653505579086
2,1,13,tier4 all other pairs,0.3507945761673062,0.016665807594702667
2,1,17,tier4 all other pairs,0.23206185094764248,0.03335505539559603
2,1,19,tier4 all other pairs,0.3501565978094523,0.026915878356263332
2,1,20,tier4 all other pairs,0.1942322046366079,0.030365795216043816
2,1,29,tier4 all other pairs,0.27470015499425326,0.0256360611244584
2,1,36,tier4 all other pairs,0.4241411081409334,0.015742996569440962
2,1,39,tier4 all other pairs,0.27224264036705215,0.08525338408120807
2,1,42,tier4 all other pairs,0.23066255606477232,0.06200853949632013
2,1,48,tier4 all other pairs,0.21119686880201854,0.04806054420501762
2,1,51,tier4 all other pairs,0.3480464226078148,0.08873986694458601
2,1,53,tier4 all other pairs,0.39639366371510326,0.03690252808174751
2,1,55,tier4 all other pairs,0.35121028283507905,0.036402276334708515
2,1,62,tier4 all other pairs,0.5518342067591365,0.012576984985835094
2,1,63,tier4 all other pairs,0.3688725190411921,0.04137145763300958
2,1,67,tier4 all other pairs,0.22970233005386126,0.010720858269269447
2,1,73,tier4 all other pairs,0.3466937871980367,0.055395256258089054
2,1,77,tier4 all other pairs,0.6321136357161833,0.015122414893146292
2,1,79,tier4 all other pairs,0.2896624162790797,0.027890680298913388
2,1,81,tier4 all other pairs,0.17853388529346131,0.060296660660717295
2,1,83,tier3 fluid<->non-fluid,0.2556725386636781,0.038242394822437804
2,1,85,tier4 all other pairs,0.328350993300207,0.029799767190146483
2,1,90,tier4 all other pairs,0.15381319659880063,0.022560217566150564
2,1,91,tier4 all other pairs,0.2624490508769792,0.06232578314976206
2,1,92,tier4 all other pairs,0.48235388958518843,0.02153744990909654
2,1,93,tier4 all other pairs,0.6618128698764809,0.061055653788295035
2,1,96,tier4 all other pairs,0.3345428075540521,0.033222635742900124
2,4,7,tier3 fluid<->non-fluid,0.33424240203768546,0.033757998413260465
2,4,8,tier3 fluid<->non-fluid,0.3352254896219827,0.05630147816826271
2,4,9,tier3 fluid<->non-fluid,0.49030707072987584,0.022210474452942015
2,4,11,tier3 fluid<->non-fluid,0.25782913342610025,0.06080389312422698
2,4,13,tier4 all other pairs,0.3474338751420285,0.057261887979151396
2,4,19,tier4 all other pairs,0.3030530038612043,0.07424220706378287
2,4,20,tier4 all other pairs,0.15693879019797805,0.048368958864918814
2,4,29,tier4 all other pairs,0.4207350553907253,0.07852643438785212
2,4,36,tier4 all other pairs,0.4395929292823289,0.0775193435695549
2,4,48,tier4 all other pairs,0.2976343582103208,0.034589227289004223
2,4,53,tier4 all other pairs,0.34857392847411767,0.016697386080059346
2,4,55,tier4 all other pairs,0.5590709879197765,0.034053777425195386
2,4,62,tier4 all other pairs,0.637605893263616,0.030382963454429215
2,4,63,tier4 all other pairs,0.2691492171198778,0.13776604386567723
