block,baseline,seed,gain,null_gain
7,propensity+full_coverage,24,0.07118666059527368,-0.0019687185393247875
8,propensity,4,0.030449353514046207,-0.0030970812166950523
8,propensity,14,0.025870386761717934,-0.0066790327102843605
8,propensity,24,0.02552323883002028,-0.005694465287762407
8,propensity+n_blocks,4,0.028737247136068622,-0.0032448233368241874
8,propensity+n_blocks,14,0.023739140932255265,-0.006137350032086597
8,propensity+n_blocks,24,0.022851712521598344,-0.005727469455637291
8,propensity+coverage_pcs,4,0.022654098514891086,-0.003508553647850965
8,propensity+coverage_pcs,14,0.016136671858805962,-0.006718354759656098
8,propensity+coverage_pcs,24,0.01836821820087886,-0.004956291828710824
8,propensity+full_coverage,4,0.01659162324689023,-0.0036278153647404388
8,propensity+full_coverage,14,0.004823855250903009,-0.007339130394599769
8,propensity+full_coverage,24,0.007791790579087965,-0.0063067853846399125
9,propensity,4,0.11403546701358913,-0.002195926432255524
9,propensity,14,0.09386065809639499,-0.002718594240169514
9,propensity,24,0.10598578943277925,-0.004403812874337776
9,propensity+n_blocks,4,0.1046550858110451,-0.0019442132598521678
9,propensity+n_blocks,14,0.08810401454792005,-0.0029394669957857333
9,propensity+n_blocks,24,0.09694674946235171,-0.004509774072778416
9,propensity+coverage_pcs,4,0.08421107770112635,-0.001686695218011014
9,propensity+coverage_pcs,14,0.07273042065201185,-0.0024784089026921308
9,propensity+coverage_pcs,24,0.07855686597567357,-0.004360236877948953
9,propensity+full_coverage,4,0.053275272840147214,-0.0015633076588397188
9,propensity+full_coverage,14,0.05169528266543155,-0.0015621411172350719
9,propensity+full_coverage,24,0.06089550916057218,-0.004935493206759123
11,propensity,4,0.035926159112654954,-0.00553171772940475
11,propensity,14,0.015664240938220497,-0.011986786059811738
11,propensity,24,0.032317383037151814,-0.008453921858079916
11,propensity+n_blocks,4,0.030678193253252828,-0.006051209379012268
11,propensity+n_blocks,14,0.01109116250336617,-0.010866011676852527
11,propensity+n_blocks,24,0.02515594897311657,-0.008128200657979479
11,propensity+coverage_pcs,4,0.02493840492615662,-0.006296578800925046
11,propensity+coverage_pcs,14,0.006804642100456837,-0.012006181031630758
11,propensity+coverage_pcs,24,0.019653954074329127,-0.008117679133876843
11,propensity+full_coverage,4,0.018390529004571277,-0.0070982181399771305
11,propensity+full_coverage,14,0.0010597846668956024,-0.013269410901684764
11,propensity+full_coverage,24,0.01757760581731982,-0.006741633277631109
13,propensity,4,0.03306425115746048,-0.0009023026241634646
13,propensity,14,0.035383061978649155,-0.0006578049865075819
13,propensity,24,0.035039804212016024,-0.000570068908656518
13,propensity+n_blocks,4,0.025070526115245295,-0.0007996573296878973
13,propensity+n_blocks,14,0.024174364768087764,-0.0007298013302001749
13,propensity+n_blocks,24,0.02497030568210379,-0.0006224780237895633
13,propensity+coverage_pcs,4,0.0177643771014524,-0.0008372288686838703
13,propensity+coverage_pcs,14,0.017279429219577702,-0.0007498285581026831
13,propensity+coverage_pcs,24,0.018525654393963698,-0.0005835703539136539
13,propensity+full_coverage,4,0.014154053300307279,-0.0008565803251010529
13,propensity+full_coverage,14,0.013317230541709746,-0.0007590742663793337
13,propensity+full_coverage,24,0.014968198291909873,-0.0005570393592516654
17,propensity,4,0.022793329802370033,-0.004973141925652458
17,propensity,14,0.04154842829846761,-0.007388472802017265
17,propensity,24,0.033827679602104754,-0.008862753462833828
17,propensity+n_blocks,4,0.021461444925076734,-0.005053246377103027
17,propensity+n_blocks,14,0.04122612906364953,-0.007361439868436737
17,propensity+n_blocks,24,0.03308293831754816,-0.009030199395180016
