q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp,person_noise_pp
42,plant,10.0,0.3,29,0.1572658184932545,0.4011109755013145,,,
48,real,,,11,0.06907051337738856,,23.025274356273677,20.84111978350909,14.307214891154773
48,margin,,,11,-0.0160385622136473,0.0,,,
48,plant,2.0,0.05,11,-0.014771339777886139,0.05973679372364218,,,
48,plant,2.0,0.08,11,-0.012217874648283389,0.09333608781893585,,,
48,plant,2.0,0.12,11,-0.007024921927496819,0.13557135779352056,,,
48,plant,2.0,0.2,11,0.022227787906088703,0.20545083529963618,,,
48,plant,2.0,0.3,11,0.07613480441193277,0.26844948993908563,,,
48,plant,5.0,0.05,11,-0.008372397895396788,0.10495489652342226,,,
48,plant,5.0,0.08,11,-0.005444053737833521,0.16011556551273046,,,
48,plant,5.0,0.12,11,0.004321959309835699,0.21995952457208798,,,
48,plant,5.0,0.2,11,0.03353499655252179,0.3009910476651082,,,
48,plant,5.0,0.3,11,0.07149739739471295,0.362243817051456,,,
48,plant,10.0,0.05,11,-0.018846577860038405,0.14048199550491544,,,
48,plant,10.0,0.08,11,-0.011942970972547151,0.2088088870224278,,,
48,plant,10.0,0.12,11,0.0055537735545074796,0.27957265218204175,,,
48,plant,10.0,0.2,11,0.033620814350323824,0.36432966159506425,,,
48,plant,10.0,0.3,11,0.05486870360656049,0.4167134575004501,,,
48,real,,,29,0.06886779393098297,,23.025274356273677,20.84111978350909,14.307214891154773
48,margin,,,29,-0.021835197709953458,0.0,,,
48,plant,2.0,0.05,29,-0.008414526994839244,0.06340733962766888,,,
48,plant,2.0,0.08,29,-0.006947919838265371,0.10062442020838563,,,
48,plant,2.0,0.12,29,0.008374101929594757,0.14640436050221414,,,
48,plant,2.0,0.2,29,0.052207198915412256,0.21540087502043614,,,
48,plant,2.0,0.3,29,0.1050839229140954,0.2719792382166735,,,
48,plant,5.0,0.05,29,-0.010944491223305985,0.103086228357966,,,
48,plant,5.0,0.08,29,-0.008303662212688412,0.1569759837019231,,,
48,plant,5.0,0.12,29,0.005482575349973651,0.22046994131194303,,,
48,plant,5.0,0.2,29,0.047116597632186896,0.30866111759885456,,,
48,plant,5.0,0.3,29,0.09464363295539702,0.3687798723439041,,,
48,plant,10.0,0.05,29,-0.017103475082294373,0.14537434737629856,,,
48,plant,10.0,0.08,29,-0.00851913184601083,0.21749914296332656,,,
48,plant,10.0,0.12,29,0.006879005393676252,0.2905786425541122,,,
48,plant,10.0,0.2,29,0.028242429100528543,0.374936414874763,,,
48,plant,10.0,0.3,29,0.043572209403687445,0.4260258115004431,,,
53,real,,,11,0.03573635550020948,,24.782870245877806,20.095104043693283,9.760539842638652
53,margin,,,11,-0.007331561220270233,0.0,,,
53,plant,2.0,0.05,11,-0.005508799142279752,0.06995384062609776,,,
53,plant,2.0,0.08,11,-0.0009891339593055548,0.10776660524515712,,,
53,plant,2.0,0.12,11,0.018324348521684186,0.1522908818670373,,,
53,plant,2.0,0.2,11,0.07830518497448735,0.22287966560191297,,,
