q,K,seed,f,n,m,I,P,X
29,2,11,0.25,5388,22,0.20848504725553596,0.08912260245895937,-0.002467789379223928
29,1,11,0.5,5388,22,0.2094752526056556,0.09207841813526255,0.0007098845379499935
29,2,11,0.5,5388,22,0.20757001637746542,0.09515710341658729,-0.016506651092312585
29,1,11,1.0,5388,22,0.20409894919361626,0.08084982564026011,-0.019164946715699682
29,2,11,1.0,5388,22,0.2018081349597875,0.0852607569341079,-0.05285246604578075
29,1,11,5.0,5388,22,0.19884432735963173,0.08666587264404313,-0.056265685888010064
29,2,11,5.0,5388,22,0.19484187565237102,0.08891104054632011,-0.10949990766061377
29,1,29,0.0,5388,22,0.2073648149374182,0.08355332728265426,0.020217045634385106
29,2,29,0.0,5388,22,0.20405320457889825,0.08555960466510454,0.019071843167491664
29,1,29,0.25,5388,22,0.2041585052270402,0.08457757345318125,0.00932297402471834
29,2,29,0.25,5388,22,0.20078023016779212,0.08617737128899167,-0.005130067562612972
29,1,29,0.5,5388,22,0.2069154325483571,0.08517797425869773,0.00044897887657382085
29,2,29,0.5,5388,22,0.20356625765782432,0.08793285752503971,-0.026245594175898387
29,1,29,1.0,5388,22,0.19628410718871514,0.08430911549704836,-0.015672590622628452
29,2,29,1.0,5388,22,0.19102226930522398,0.08861985199489937,-0.05642057280068206
29,1,29,5.0,5388,22,0.19895721762120744,0.07870067119639254,-0.056340100593243916
29,2,29,5.0,5388,22,0.1946354137946406,0.08218224830486973,-0.10627754500722293
29,1,47,0.0,5388,22,0.2011886920344388,0.09373627523503048,0.017901434764381996
29,2,47,0.0,5388,22,0.1991888111561796,0.09568346797443207,0.020541370299463197
29,1,47,0.25,5388,22,0.20206478322524712,0.09487646628142263,0.010806114841617401
29,2,47,0.25,5388,22,0.20007660782142028,0.09680479244110499,-0.0005730338615038872
