q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp
48,plant,5.0,0.3,29,0.09464363295539702,0.6675051360572772,,
48,plant,10.0,0.05,29,-0.017103475082294373,0.16146610637268505,,
48,plant,10.0,0.08,29,-0.00851913184601083,0.25834577019629607,,
48,plant,10.0,0.12,29,0.006879005393676252,0.38751865529444407,,
48,plant,10.0,0.2,29,0.028242429100528543,0.6458644254907402,,
48,plant,10.0,0.3,29,0.043572209403687445,0.9687966382361101,,
53,real,,,11,0.03573635550020948,,24.782870245877806,20.095104043693283
53,margin,,,11,-0.007331561220270233,0.0,,
53,plant,2.0,0.05,11,-0.005508799142279752,0.07396650893595239,,
53,plant,2.0,0.08,11,-0.0009891339593055548,0.11834641429752381,,
53,plant,2.0,0.12,11,0.018324348521684186,0.1775196214462857,,
53,plant,2.0,0.2,11,0.07830518497448735,0.29586603574380954,,
53,plant,2.0,0.3,11,0.1645592362887035,0.4437990536157142,,
53,plant,5.0,0.05,11,-0.005391373478732198,0.1058869251755319,,
53,plant,5.0,0.08,11,0.005746007927854402,0.16941908028085106,,
53,plant,5.0,0.12,11,0.03336487311037728,0.2541286204212766,,
53,plant,5.0,0.2,11,0.11033920171316502,0.4235477007021276,,
53,plant,5.0,0.3,11,0.18493953070152414,0.6353215510531914,,
53,plant,10.0,0.05,11,0.001459841417458252,0.155964375939919,,
53,plant,10.0,0.08,11,0.018587788553746765,0.2495430015038704,,
53,plant,10.0,0.12,11,0.05585565315709662,0.3743145022558056,,
53,plant,10.0,0.2,11,0.1279084671685229,0.623857503759676,,
53,plant,10.0,0.3,11,0.18340088876271232,0.9357862556395139,,
53,real,,,29,0.030403727798323454,,24.782870245877806,20.095104043693283
53,margin,,,29,-0.005745926898408915,0.0,,
53,plant,2.0,0.05,29,-0.01053687989580887,0.06123809754347586,,
53,plant,2.0,0.08,29,-0.006819779256923009,0.09798095606956138,,
53,plant,2.0,0.12,29,0.006042740179101114,0.14697143410434205,,
53,plant,2.0,0.2,29,0.05552337769590965,0.24495239017390344,,
53,plant,2.0,0.3,29,0.1248500851389901,0.3674285852608551,,
53,plant,5.0,0.05,29,-0.002075933610737546,0.12945969666437185,,
53,plant,5.0,0.08,29,0.015631821377679378,0.20713551466299496,,
