item,block,f1,f2,f3,f4,f5,f6
Bukkake,19,-0.007431039339284938,0.025561160149354247,0.04235537358973193,0.0315633210202338,0.021597309719660802,0.026417096767493885
Cheating,19,0.0133083572686707,-0.01590415252080967,-0.0051403766724957825,-0.00907024103320321,0.004192749889192932,0.047529894041083307
Circle jerks,19,-0.0005232104819275432,-0.0011786866678111043,0.01477330361295268,-0.025199408390853405,-0.0065948396990018225,-0.011302998997643665
Cuckolding,19,-0.01208840169935013,-0.005169377610103846,0.0050512719422822604,-0.01582402681091019,-0.012309979225110927,0.027394269116018256
Dogging (sex with strangers in public),19,0.006190229544801691,-0.0007622159439448793,0.0007232555776854252,0.01686019243616015,0.018356757346167,0.013950042251585595
Double penetration,19,-0.0190599055586943,0.027854098416825523,-0.020895025952848246,0.008893419887528294,0.012933160456471601,-0.03036023737659926
Freeuse (society where people casually have sex with anyone),19,0.006542713128599023,0.013629139845919814,0.017336247231542784,0.022385153049843922,0.00927074396689384,0.004094905994171617
Gang bangs,19,-0.006398986806626061,0.0377497702972357,0.0048319036304595555,0.024331206234315655,0.027146268575615137,-0.0052668822568945626
Harems,19,0.007417305045338782,0.01293278575854103,0.01296774799247956,-0.004035615135786195,0.00230342598724238,-0.011069253526287934
"Hotwifing (wife sex with others, non-humiliatingly)",19,-0.0016185680977888121,-0.024812563916013174,-0.003085059546944975,0.0049482226082724215,-0.01187012354564493,0.04379448086884929
Orgies,19,-0.008380663304688904,0.0017697784885541796,-0.0030660569381035624,0.01907017006727183,-0.009796502503570807,0.0001985156252732102
Partner swapping,19,0.0038683104938319708,-0.02550493494583373,-0.016089450589976628,-0.0011894633682693289,-0.022052996959965765,0.027342801643550338
Possessiveness (sexual partners fighting),19,0.0347478521976304,0.0018351503132206816,-0.026677290486333015,-0.035954809318099565,-0.004522017114122064,-0.08817050358765217
Sloppy seconds,19,-0.014460887226090721,0.01090327876482939,0.019314967021447627,-0.014448959610171834,0.0059606865375691764,-0.006667602870690719
Soft swinging,19,0.0040455111641203014,-0.03469482350505801,-0.012935030911777686,-0.0125815359377269,-0.019383649020427402,0.01335764932961805
Swinging,19,-0.005796392976412919,-0.02519259823623162,-0.008687040802065695,0.0012224029830621985,-0.01791638293317654,0.022199568319901823
Synchronized fucking,19,0.005124941025347212,-0.01350941361203886,-0.005528176802787302,-0.02685850923004042,-0.011982713775732923,-0.041024054745818515
Threesomes,19,0.015906034795700442,-0.035329039291770066,-0.016025117169645605,-0.01510189026468814,-0.014304799064425285,0.006974886121204304
Triple penetration,19,-0.021393199173176114,0.04982264421513444,0.00077455527439663,0.03099037081306104,0.028972901362365557,-0.03939257671716283
