q,world,mode,seed,alpha,hyp,I,P,C,W
13,real,hard,11,100.0,1.0,0.3075291297771151,0.11492646543248121,0.005741679382269742,-0.023903089817730067
13,noW,hard,11,100.0,1.0,0.2995908649844721,0.11692469975250545,0.001287975773631896,-0.04213450638503986
13,noC,soft,11,100.0,8.0,0.31757939654061335,0.12738906410746664,-0.0006548892155420945,0.004564513101926422
13,real,soft,29,100.0,8.0,0.31354277250884577,0.12676384120758,0.007072412577869799,0.0018723436531866147
13,noI,soft,29,100.0,8.0,-1.992994473158185e-10,0.10391370004830679,0.0011449338264986617,-0.024751409414946766
13,noP,soft,29,100.0,1.0,0.3085997396185457,-0.0002205390535327071,-0.0004863579447180466,3.7795024654683575e-05
13,noW,soft,29,100.0,8.0,0.3074942139898974,0.1323498195623415,0.0033729992235006687,-0.012133907472111977
13,planted,soft,29,100.0,8.0,0.10955508140070658,5.867138053616827e-06,0.0387591734980058,0.13010376183022612
13,real,hard,29,100.0,1.0,0.30209592613722075,0.11343383647939378,0.006710140005999907,-0.015931696861488848
13,noW,hard,29,100.0,1.0,0.2941982582920631,0.11756808239877455,0.0032854738687951674,-0.034443696565033
13,noC,soft,29,100.0,8.0,0.3131799594308171,0.1279653495932761,-0.0006157382129011735,0.0027298348079112427
13,real,soft,47,100.0,8.0,0.313179264032427,0.13191575963550412,0.00905135730057909,0.0025484290175125934
13,noI,soft,47,100.0,8.0,-1.60662109120376e-05,0.10224312504230287,0.001548924214077531,-0.027910461054391832
13,noP,soft,47,100.0,0.0,0.3126152703421563,2.3632951711335025e-05,-0.0005291361948570235,2.590520390792032e-16
13,noW,soft,47,100.0,8.0,0.31978757375812006,0.12618742427004626,0.0020142692575098597,-0.013325699954162384
13,planted,soft,47,100.0,8.0,0.1220003340090695,9.734639993974614e-05,0.022416994462444252,0.12072396195988493
13,real,hard,47,100.0,1.0,0.3005082309389038,0.12039966419326252,0.008749443704850165,-0.020901044906156796
13,noW,hard,47,100.0,1.0,0.3051742643431582,0.11263386127926017,0.0016152434212962545,-0.03909958399362812
13,noC,soft,47,100.0,8.0,0.31332830376907816,0.13285347826585786,0.0006561680960105268,0.003578358850877798
17,real,soft,11,100.0,4.0,0.18794637691911886,0.03142542778267857,0.009070524424795806,0.0025720187815374274
17,noI,soft,11,100.0,8.0,-6.2731504527994515e-09,0.028158834068509084,-0.012301167139947989,-0.015179342801651369
17,noP,soft,11,100.0,4.0,0.1820503084795389,-1.9989218006768008e-05,-0.014344399594468787,-0.002263262431653192
17,noW,soft,11,100.0,4.0,0.1789918703032728,0.03888817441764862,-0.00264024373564987,-0.019429140570559934
17,planted,soft,11,10.0,8.0,0.05362486901498195,-1.1544673087874693e-09,0.020015894962544904,0.0638860507884743
17,real,hard,11,100.0,8.0,0.1790911814958923,0.03062724905028168,0.008626340455517606,-0.11503346677021233
17,noW,hard,11,100.0,8.0,0.1755600154309908,0.04145696094978322,-0.0031038642024447394,-0.14141275914128945
17,noC,soft,11,100.0,4.0,0.188850828426622,0.030940757755067223,-0.008618219316110573,0.0034909619224691804
17,real,soft,29,100.0,4.0,0.18702567162101894,0.051802581536353226,0.006210081997505519,-0.004035397437425054
17,noI,soft,29,100.0,8.0,-8.607666862595065e-05,0.02559249044412832,0.00013568169806553915,-0.015856546562911272
17,noP,soft,29,100.0,4.0,0.17046568463382714,-0.0009335688196441537,-0.0001881025087669499,-0.0014690603692745128
17,noW,soft,29,100.0,4.0,0.17578515352552224,0.044606114417805875,-0.008378466099190102,-0.014933949574064085
17,planted,soft,29,100.0,8.0,0.06555053533380371,0.005803342525863814,0.053013894586039494,0.04487677299559949
17,real,hard,29,100.0,1.0,0.17755737416254974,0.04551896501735286,0.00683534457817612,-0.1116223851431423
17,noW,hard,29,100.0,8.0,0.17075101447203844,0.03684148069251002,-0.007763072480250515,-0.1302549552764276
17,noC,soft,29,100.0,4.0,0.18642109824629868,0.05208979943450005,-0.009309654749281322,-0.002620745847396113
