q,Kw,seed,world,arm,brier_I,brier_P,brier_C,brier_W,l1_I,l1_P,l1_C,l1_W
17,1,11,real,permC,0.1890076021945216,-0.0316477509487412,-0.0075915685656271215,-0.09367578161329522,0.16718339797244394,0.035444886716850324,-0.0030434815062374367,0.008853057961249225
17,2,11,real,real,0.18795076992226803,-0.017536930063163217,0.005503877988466882,-0.10827434130410897,0.16798113785057517,0.03336250073601378,0.007280001945065599,0.03122670820132861
17,2,11,null,real,0.17407104994119738,-0.004145959442222633,-0.0011418671349639937,-0.20582952824864265,0.1612312896138095,0.04407533853885951,-8.920694936411419e-05,-0.006865274835349063
17,2,11,real,permC,0.18962628026248393,-0.018983093854873383,-0.0071176973818065275,-0.10595753600783214,0.16804930688201788,0.033460832802759286,-0.002997645639859242,0.03273883487033564
17,4,11,real,real,0.1743852413906108,-0.015247685285521593,0.010155144295407082,-0.2899756581702062,0.162523180796477,0.02863779871930889,0.006959025277237416,-0.009775160157948815
17,4,11,null,real,0.17156358361906288,-0.0001371820964803632,-0.001789641812398074,-0.33159783997940995,0.16147801047211505,0.040322039796702,-0.0004151017427505843,-0.04237168684937408
17,4,11,real,permC,0.17490297493394888,-0.014974619439791632,-0.005428241328504613,-0.29062066312756774,0.16212532819898848,0.029081842585204066,-0.002758777818618968,-0.007703188999873331
17,8,11,real,real,0.1952956190093959,-0.02321194240128181,0.007882123787121182,-0.032381080291591424,0.16658133609148026,0.05019638532692826,0.009050530293625004,-0.0014783130507422604
17,8,11,null,real,0.19974374450886814,0.004844694309826499,-0.0015932009286517463,-0.034167649564838504,0.16654301288855056,0.062072298405214776,0.00014605842174260825,-0.002363060130394297
17,8,11,real,permC,0.19645530676004247,-0.024793294499131098,-0.007336747002576369,-0.03266157041473873,0.16667680888952996,0.05053527633890936,-0.002609866449141888,-0.0013489355395772855
17,1,29,real,real,0.18886684553658248,0.008106320217426966,0.008076496950877532,-0.08505121575826999,0.1761699706898509,0.055458341535027635,0.009056628753212623,0.008579896085701246
17,1,29,null,real,0.1698913691719978,0.010272630729795857,1.6267831223456153e-05,-0.09168889712375429,0.16769486213377388,0.057589420896510125,0.0006135268088710936,0.004464702277214923
17,1,29,real,permC,0.1881756744138631,0.007051247737899946,-0.0006476744922412531,-0.08756155298971065,0.17594484306332608,0.05487318128731621,7.570710011189918e-05,0.009989357393591636
17,2,29,real,real,0.18980323778697614,0.014973632168269385,0.0031919998692355087,-0.13945318437619136,0.1759539914129903,0.051570752020224105,0.007531972792635945,0.022335691988407968
17,2,29,null,real,0.15130287841307638,0.026533071597358328,0.000494955748436221,-0.2035644514379676,0.16429593539788073,0.05623270115017789,0.0009435410121220178,-0.017020052907962803
17,2,29,real,permC,0.18979497958274638,0.014500406410521055,-0.0010582704535081382,-0.13748962048725688,0.17531132326823182,0.050952052020771424,-9.323506871293985e-05,0.025100867088050195
17,4,29,real,real,0.17291734753179683,0.023884959857405064,0.005059987130146335,-0.2098890985488815,0.16637044543630672,0.05041117969257516,0.007670034294269759,0.02331944309891338
17,4,29,null,real,0.15374077641396117,0.024858707674625852,0.00014987957402075774,-0.31942682743528594,0.1637995975823907,0.05367196031424385,0.0007071639385168211,-0.030657187211167693
17,4,29,real,permC,0.17297605775830655,0.02316593601892806,-0.000984194795716209,-0.2097194462630659,0.16635834474358654,0.04996390854582703,2.9909269767369712e-05,0.026069701035402106
17,8,29,real,real,0.19821879639249193,0.012140366486559872,0.004930589365295918,-0.024801772844089232,0.1740604314452017,0.06810001126330889,0.010317729323632063,0.0033584792438677664
17,8,29,null,real,0.18764645676817993,0.01639010707502116,-6.374579428945296e-05,-0.05378102679307695,0.16974310233852588,0.07148630206487724,0.0006599646487228753,-0.016939781001516618
