v_page,v_val,v_kind,v_win
README.md,0.0911,可核而未核,100
README.md,0.3587,可核而未核,100
README.md,−0.0332,孤立,100
README.md,86%,孤立,100
README.md,+0.273,可核而未核,100
README.md,+0.212,可核而未核,100
README.md,+0.314,可核而未核,100
README.md,−0.00025,孤立,100
README.md,0.862,孤立,100
README.md,1.373,孤立,100
README.md,0.07,孤立,100
README.md,0.0044,孤立,100
README.md,0.5856,孤立,100
README.md,0.1734,孤立,100
README.md,+0.699,孤立,100
README.md,+0.915,孤立,100
README.md,1.000,孤立,100
README.md,1.000,孤立,100
README.md,−0.3413,可核而未核,100
README.md,0.7051,可核而未核,100
README.md,0.5951,可核而未核,100
README.md,+0.1099,可核而未核,100
README.md,0.7917,可核而未核,100
README.md,0.6057,可核而未核,100
README.md,+0.1860,可核而未核,100
README.md,+0.0735,可核而未核,100
README.md,−0.0074,可核而未核,100
README.md,+0.0809,可核而未核,100
README.md,+0.1574,可核而未核,100
README.md,+0.0378,可核而未核,100
README.md,+0.0357,可核而未核,100
README.md,0.750,可核而未核,100
README.md,0.1061,孤立,100
README.md,+0.2274,可核而未核,100
README.md,+0.0517,可核而未核,100
README.md,+0.1756,可核而未核,100
README.md,+0.7966,可核而未核,100
README.md,+0.6725,可核而未核,100
README.md,+0.4167,孤立,100
README.md,0.556,可核而未核,100
README.md,+0.8219,孤立,100
README.md,+0.5000,孤立,100
README.md,−0.5000,孤立,100
README.md,1.0000,可核而未核,100
README.md,0.4082,孤立,100
README.md,+0.1340,孤立,100
README.md,−0.2086,可核而未核,100
README.md,58%,孤立,100
README.md,0.145,可核而未核,100
README.md,0.029,可核而未核,100
README.md,0.95,可核而未核,100
README.md,+0.942,可核而未核,100
README.md,+0.127,孤立,100
README.md,−0.294,可核而未核,100
README.md,0.727,孤立,100
README.md,0.999,孤立,100
README.md,+1.018,孤立,100
README.md,+0.599,孤立,100
README.md,+0.064,孤立,100
README.md,0.966,可核而未核,100
README.md,−0.169,可核而未核,100
README.md,0.88%,孤立,100
README.md,24.2%,孤立,100
README.md,0.0439,孤立,100
README.md,6.4%,可核而未核,100
README.md,+0.0606,孤立,100
README.md,+0.0206,孤立,100
README.md,+0.0289,孤立,100
README.md,+0.0006,孤立,100
README.md,0.038,孤立,100
README.md,0.034,孤立,100
README.md,0.025,可核而未核,100
README.md,2.5%,孤立,100
README.md,1.6%,可核而未核,100
README.md,12%,孤立,100
README.md,28%,孤立,100
README_zh.md,+0.086,可核而未核,100
README_zh.md,+0.125,可核而未核,100
README_zh.md,+0.229,孤立,100
README_zh.md,0.335,孤立,100
README_zh.md,0.062,可核而未核,100
README_zh.md,0.0299,可核而未核,100
README_zh.md,99%,可核而未核,100
README_zh.md,+0.952,可核而未核,100
README_zh.md,+0.975,可核而未核,100
README_zh.md,0.453,可核而未核,100
README_zh.md,0.0281,可核而未核,100
README_zh.md,0.0411,可核而未核,100
README_zh.md,0.7051,孤立,100
README_zh.md,0.5951,孤立,100
README_zh.md,0.7917,孤立,100
README_zh.md,0.6057,孤立,100
README_zh.md,+0.0378,孤立,100
README_zh.md,+0.0357,孤立,100
README_zh.md,0.106,孤立,100
README_zh.md,0.5645,可核而未核,100
README_zh.md,+0.1604,可核而未核,100
README_zh.md,0.0372,可核而未核,100
README_zh.md,0.750,孤立,100
README_zh.md,0.000,孤立,100
README_zh.md,0.1779,可核而未核,100
README_zh.md,+0.3030,孤立,100
README_zh.md,+0.6426,可核而未核,100
README_zh.md,−0.1295,可核而未核,100
README_zh.md,0.6462,可核而未核,100
README_zh.md,1.555,可核而未核,100
README_zh.md,1.408,可核而未核,100
README_zh.md,61.0%,孤立,100
README_zh.md,0.7287,孤立,100
README_zh.md,0.5965,原始量,100
README_zh.md,5.8%,可核而未核,100
README_zh.md,0.0519,孤立,100
README_zh.md,0.859,可核而未核,100
README_zh.md,0.611,可核而未核,100
README_zh.md,60.9%,可核而未核,100
README_zh.md,4,孤立,100
README_zh.md,+0.3631,可核而未核,100
README_zh.md,0.2381,可核而未核,100
README_zh.md,−0.4299,可核而未核,100
README_zh.md,+0.3826,可核而未核,100
README_zh.md,+0.3243,可核而未核,100
README_zh.md,+0.1231,可核而未核,100
README_zh.md,0.1684,可核而未核,100
README_zh.md,−0.0720,可核而未核,100
README_zh.md,+0.8679,可核而未核,100
README_zh.md,+0.229,可核而未核,100
README_zh.md,+0.2206,可核而未核,100
README_zh.md,0.1682,可核而未核,100
README_zh.md,+0.440,孤立,100
README_zh.md,+0.630,孤立,100
README_zh.md,+0.0980,孤立,100
