q,Kc,Kw,seed,world,I,P,C,W
4,8,4,11,both,0.25076590466744364,0.04859532458579886,-0.002128890625361794,-0.2468832501148883
4,1,1,29,real,0.25495985128974663,0.04006283756282216,0.004295472731606705,0.022616605644264192
4,1,1,29,permC,0.25505578879746393,0.03978988597319995,0.00013679794897053505,0.022200005784536864
4,1,1,29,margin,0.2727426020260471,0.03642814885607529,0.0002397738838524437,-0.07801044296034287
4,1,1,29,both,0.27294770832989557,0.03629376549216694,0.00020137364786980877,-0.0781101009108193
4,1,2,29,real,0.2446106418263919,0.047467012956347254,0.004118243679696931,-0.013356132130197594
4,1,2,29,permC,0.24480624471523205,0.047355761095901776,0.00028458084268364226,-0.01344772004430204
4,1,2,29,margin,0.25779567749268634,0.04366435574841028,0.00012194696993459803,-0.1596234393365933
4,1,2,29,both,0.25807416415669604,0.04365075585479186,0.00024624416909926894,-0.1595603998519224
4,1,4,29,real,0.24736747162179343,0.046232129674226186,0.003817269815775274,-0.02979826158955776
4,1,4,29,permC,0.24734960448879117,0.045931911377951926,0.00037252076663317935,-0.029500935715791012
4,1,4,29,margin,0.2548064148339634,0.04944772985121391,0.0003353490741432689,-0.29128217010826557
4,1,4,29,both,0.25499402171778074,0.04939215974367245,0.00025689434108217,-0.29142188255582047
4,4,1,29,real,0.2548776267173642,0.03998092606036621,0.00514809679764002,0.023228861444322697
4,4,1,29,permC,0.2550859816762794,0.03995561348204369,-0.0006477140969675572,0.022269048142279174
4,4,1,29,margin,0.27265067098689166,0.03642474658307621,-8.43700606715699e-05,-0.07796332188409702
4,4,1,29,both,0.27307309962540693,0.03642363583452339,-0.0003871559109868879,-0.07800709560661846
4,4,2,29,real,0.24454956783577433,0.047405559911603626,0.005327381056363026,-0.012387363019506305
4,4,2,29,permC,0.24487529925653698,0.0475553216275941,-0.0005343158351033643,-0.013413062318408645
4,4,2,29,margin,0.25758645374191813,0.04362887034465333,-0.00024135294715904587,-0.15961547423291708
4,4,2,29,both,0.25832566461377987,0.04377015545320412,-0.00037346985965423335,-0.15948857901761843
