q,dens,scale,seed,skill,pp,pp_carriers
4,1.0,0.3,29,0.14245599276141352,35.19555436990265,35.19555436990265
4,1.0,0.5,29,0.21667306481171533,42.04790779803859,42.04790779803859
7,0.05,0.0,11,-0.026043071993629652,0.0,0.0
7,0.05,0.08,11,-0.022517120231000165,8.573470127766022,38.81712792194585
7,0.05,0.12,11,-0.02114801737795724,9.433126324854207,42.672398161927184
7,0.05,0.2,11,-0.02297055717889407,10.147137823130663,45.855685804514046
7,0.05,0.3,11,-0.023888414187836826,10.504609494770065,47.45112488198034
7,0.05,0.5,11,-0.023611319398445962,10.758377641909249,48.58464172264853
7,0.15,0.0,11,-0.026043071993629652,0.0,0.0
7,0.15,0.08,11,-0.01833709886384205,13.023106145175007,32.29767573893561
7,0.15,0.12,11,-0.017241168361409986,15.329965771894214,37.994935704397506
7,0.15,0.2,11,-0.014237952162825085,17.340254764303918,42.970158783567065
7,0.15,0.3,11,-0.014232000457536031,18.404767509136576,45.58058680572008
7,0.15,0.5,11,-0.01759463414617901,19.143447945307308,47.381194765035616
7,0.3,0.0,11,-0.026043071993629652,0.0,0.0
7,0.3,0.08,11,-0.01741762456165774,14.784517901093997,26.555775225699424
7,0.3,0.12,11,-0.01248205794430679,18.54298930220535,33.290716275046464
7,0.3,0.2,11,-0.009068729444243973,22.215830433928023,39.861843642919744
7,0.3,0.3,11,-0.005047748371880045,24.224709824323433,43.44899512765996
7,0.3,0.5,11,-0.0046283291601274534,25.839854338963637,46.328828267156986
7,1.0,0.0,11,-0.0187679718096867,0.0,0.0
7,1.0,0.08,11,-0.019954744269939484,16.739275790871925,16.739275790871925
7,1.0,0.12,11,-0.00011817965217741921,23.440333442142474,23.440333442142474
7,1.0,0.2,11,0.05116857247098339,32.214158875648046,32.214158875648046
7,1.0,0.3,11,0.09913352918979612,37.932443257488934,37.932443257488934
7,1.0,0.5,11,0.14570501896005517,42.90711152065111,42.90711152065111
7,0.05,0.0,29,-0.0230634843498273,0.0,0.0
7,0.05,0.08,29,-0.026778291949602018,7.69657146745431,37.17238516763824
7,0.05,0.12,29,-0.02620727507499865,8.609459776460469,41.553450310335535
7,0.05,0.2,29,-0.02507860329564049,9.377166495324417,45.17560271828848
7,0.05,0.3,29,-0.024550674767752856,9.759331441292652,46.97219496708193
7,0.05,0.5,29,-0.024384206408502918,10.014369490466583,48.179525338462156
7,0.15,0.0,29,-0.0230634843498273,0.0,0.0
7,0.15,0.08,29,-0.024228586211813452,11.494336078896115,29.96387768183137
7,0.15,0.12,29,-0.02164903672774754,13.814694451320758,35.98676344204541
7,0.15,0.2,29,-0.0207245396899991,15.975574059585751,41.57818753217898
7,0.15,0.3,29,-0.017298276874568197,17.113558448433704,44.49644218357755
7,0.15,0.5,29,-0.016814220901041343,18.11214520886539,47.04793767362216
7,0.3,0.0,29,-0.0230634843498273,0.0,0.0
7,0.3,0.08,29,-0.014769803911496071,13.564454700536519,24.034974693888707
7,0.3,0.12,29,-0.015581739636333802,17.423049548384576,30.85196334465256
7,0.3,0.2,29,-0.010432581213041914,21.396156967052324,37.8526817443179
7,0.3,0.3,29,-0.0059910464662853435,23.730979613581233,41.96113176432304
7,0.3,0.5,29,0.001644482014647508,25.598775465438333,45.23434452746205
7,1.0,0.0,29,-0.019326785249252687,0.0,0.0
7,1.0,0.08,29,-0.022016197348786237,14.608810044050566,14.608810044050566
7,1.0,0.12,29,-0.0033965056132891913,20.878527457940457,20.878527457940457
7,1.0,0.2,29,0.03275715819509717,29.54504724012183,29.54504724012183
