q,K,seed,world,I,P,C,W
7,2,29,margin,0.09529132749016704,0.12112020511174627,-1.7080510986172706e-05,-0.2189385332836047
7,2,29,rowshuf,-0.0014123642901671027,0.0724575280065286,-0.0012854704935012968,-0.2087922986896383
7,2,29,colshuf,0.08817851368087856,-0.10305725646219845,-0.004110451178111281,-0.2828420737735115
7,3,29,real,0.08373138563715168,0.1347445992922668,0.015907194272928943,-0.01779730483056397
7,3,29,permC,0.08425381918361044,0.13284905402740826,-0.0011847853544936595,-0.009426698044512294
7,3,29,margin,0.0930267234897572,0.13379026218773432,-0.0009395852209994059,-0.3271866006330024
7,3,29,rowshuf,-0.0010544476397102247,0.08508012074321289,-0.0023485898004691843,-0.3159609133692417
7,3,29,colshuf,0.09117248501508589,-0.08991240068216826,-0.003940266279345147,-0.3993993629531636
7,5,29,real,0.08425670104463612,0.14198838440517642,0.022488948927002168,-0.09459536677366552
7,5,29,permC,0.08446531450875995,0.13935889333592077,-0.0012420222001615264,-0.08780622822467175
7,5,29,margin,0.09438206793062154,0.1421697018935727,-0.0010814776784908626,-0.43508606137929623
7,5,29,rowshuf,-0.0013592144776321813,0.09243547697178493,-0.0028653291714263915,-0.4402840612054595
7,5,29,colshuf,0.09333722257699696,-0.07402714107241305,-0.0033816676554963934,-0.4914333024481353
7,8,29,real,0.08856162930840665,0.144429375334661,0.03879795834400794,-0.195455215934707
7,8,29,permC,0.08928590792292647,0.14034463003371994,-0.00032743536461447376,-0.19165688666412456
7,8,29,margin,0.10156791410510009,0.16392773584068604,-0.003376672200447415,-0.27221013417518036
7,8,29,rowshuf,-0.0005519612347271905,0.0873747108513756,-0.0012459132189477922,-0.4023967224685879
7,8,29,colshuf,0.09359949132936474,-0.08309674778894817,-0.005406695680376772,-0.10884519113352341
8,1,11,real,0.12958752994624176,0.09855355040489575,0.0006127991297182334,-0.05228315218020948
8,1,11,permC,0.12964645988701687,0.09818560065113975,0.0009567561005888643,-0.05234699466656056
8,1,11,margin,0.13509439620328223,0.07563013356132625,-0.0019172977562961584,-0.12281867626613223
8,1,11,rowshuf,0.0006261877024325939,0.0644405412792868,0.001055673800331558,-0.12044406699437996
8,1,11,colshuf,0.11764661247810711,-0.10494661698364376,-0.00022057895454968834,-0.13041202705696628
8,2,11,real,0.12932816799789035,0.10975769106977074,0.002191386149114969,-0.08916031610196486
8,2,11,permC,0.12921867660356529,0.10987574769446108,0.0008321625699043895,-0.08718046865836225
8,2,11,margin,0.1341590399768905,0.08806565064935756,-0.001079972266146506,-0.1916374355203314
8,2,11,rowshuf,0.0007098496365068041,0.0813426018129209,0.0002116946779681384,-0.2196846934793166
8,2,11,colshuf,0.11604454037997954,-0.09056507609233512,-0.0013800609706145124,-0.21031442990672103
8,3,11,real,0.12832118634787562,0.11875116918360971,0.0011848299938715758,-0.07225071771847613
8,3,11,permC,0.12889737650425986,0.11852496133806635,0.000571619234427519,-0.07153680559071562
8,3,11,margin,0.13223332285108014,0.09794263739209412,0.000554379704509537,-0.27013863159883333
8,3,11,rowshuf,0.0003610816625937244,0.08814841829001309,-0.000592843641094909,-0.3144766264000698
8,3,11,colshuf,0.11675467803722903,-0.0771077511194959,-0.0025553328996158475,-0.31428696090605224
8,5,11,real,0.12677576666801327,0.12903239265470584,0.003872725902958387,-0.11391046381248764
8,5,11,permC,0.12735496687126685,0.1290992778605934,3.8774958854431664e-05,-0.11209642663188653
8,5,11,margin,0.12845561761185353,0.10572211000916697,0.0003049826935488386,-0.38123447326624377
8,5,11,rowshuf,0.0005234387963921154,0.09847033467258691,-0.002590525421813844,-0.4332831430785079
8,5,11,colshuf,0.1165317252996472,-0.06883715842529943,-0.0032958125292918135,-0.36642681339200905
8,8,11,real,0.13170122411913637,0.13181452693723428,0.008329723878334722,-0.20614609947113563
8,8,11,permC,0.13197324665427201,0.13056827373070756,-0.002031518544251265,-0.2057832627096018
8,8,11,margin,0.14011966956922597,0.12240858760313326,-0.002693031251583017,-0.18793476380677043
8,8,11,rowshuf,0.00020504369079064416,0.10138896562332723,-0.0034150743922148523,-0.4126676887418563
8,8,11,colshuf,0.12413828895012337,-0.07598423661989955,-0.004335757109316246,-0.052119327181527154
8,1,29,real,0.125312563648874,0.125964164778473,0.001168179125744434,-0.04603977185840988
8,1,29,permC,0.12547112528219317,0.12588264918476605,0.000342284418467879,-0.04631175840530297
8,1,29,margin,0.11880191059525477,0.13170705996247864,0.00014192889088341748,-0.08133902362809073
8,1,29,rowshuf,-0.00011413172259223486,0.10689277791596785,0.0012050265827037256,-0.13436103472689342
8,1,29,colshuf,0.11969175371244367,-0.10403769732208315,0.0005274358770212632,-0.15411092320682676
8,2,29,real,0.12381032101969473,0.142083996307743,0.0006575329145815936,-0.08621003187054464
8,2,29,permC,0.12423247435021595,0.1431162968846132,-0.0013315000679416376,-0.08524929674702493
8,2,29,margin,0.12158448163342286,0.14186175183496066,0.0013734348681161226,-0.1829059849003209
8,2,29,rowshuf,-0.0003220393324083933,0.11546494779146592,0.0013009017949645965,-0.2470392605473119
8,2,29,colshuf,0.11740684593094,-0.0920159993452198,0.0007993505738948987,-0.23213710677914984
8,3,29,real,0.12265864293603698,0.15771199287880938,0.0006054259266650893,-0.09979309310432294
8,3,29,permC,0.12226514257936108,0.157527805964821,-0.0019357765263088207,-0.09987701190041383
8,3,29,margin,0.12359293413946457,0.15520661022192012,0.0018709584415685838,-0.2955593015689946
8,3,29,rowshuf,-0.0004169619165968845,0.12384403467183519,-0.0007063470035383879,-0.32664176526358724
8,3,29,colshuf,0.11760322192463733,-0.08265765082386546,0.0006329189223085266,-0.3501674253372799
8,5,29,real,0.12430569805865671,0.1560516204256791,-0.0010008419848101615,-0.11882809244098506
8,5,29,permC,0.12397452130350797,0.15434980793047867,-0.0004988904337826967,-0.11705108867379935
8,5,29,margin,0.11845937655026449,0.16388697983362843,0.00044209806546046304,-0.4196708040101188
8,5,29,rowshuf,-0.00012718329466182565,0.13616689726924217,-0.0038727279569199147,-0.5017123902914924
8,5,29,colshuf,0.11559947057832239,-0.06675010666693548,-0.002396323546136401,-0.46310085789129307
8,8,29,real,0.13411141765341805,0.16632765042500264,0.005606712091844665,-0.2421610494269965
8,8,29,permC,0.13329119045219529,0.16696079299643146,-0.003530372556055169,-0.24287030964151443
